method,n,seed,episode,edge_count,optimal_edge_count,optimality_ratio,absolute_gap,exact_optimum,turan_isomorphic,constraint_violations,terminal_maximal,episode_length,inference_time_seconds,parameter_count,checkpoint
gnn,6,0,97,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,98,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,99,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,100,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,101,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,102,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,103,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,104,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,105,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,106,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,107,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,108,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,109,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,110,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,111,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,112,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,113,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,114,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,115,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,116,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,117,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,118,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,119,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,120,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,121,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,122,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,123,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,124,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,125,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,126,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,127,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,128,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,129,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,130,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,131,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,132,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,133,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,134,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,135,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,136,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,137,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,138,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,139,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,140,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,141,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,142,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,143,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,144,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,145,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,146,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,147,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,148,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,149,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,150,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,151,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,152,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,153,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,154,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,155,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,156,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,157,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,158,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,159,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,160,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,161,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,162,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,163,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,164,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,165,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,166,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,167,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,168,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,169,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,170,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,171,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,172,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,173,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,174,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,175,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,176,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,177,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,178,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,179,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,180,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,181,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,182,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,183,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,184,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,185,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,186,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,187,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,188,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,189,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,190,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,191,9,9,1.0,0,1,1,0,1,9,0.0005941302187579822,38337,runs/mvp-seed-0/best.pt
gnn,6,0,192,9,9,1.0,0,1,1,0,1,9,0.000798427124891532,38337,runs/mvp-seed-0/best.pt
gnn,6,0,193,9,9,1.0,0,1,1,0,1,9,0.000798427124891532,38337,runs/mvp-seed-0/best.pt
gnn,6,0,194,9,9,1.0,0,1,1,0,1,9,0.000798427124891532,38337,runs/mvp-seed-0/best.pt
gnn,6,0,195,9,9,1.0,0,1,1,0,1,9,0.000798427124891532,38337,runs/mvp-seed-0/best.pt
gnn,6,0,196,9,9,1.0,0,1,1,0,1,9,0.000798427124891532,38337,runs/mvp-seed-0/best.pt
gnn,6,0,197,9,9,1.0,0,1,1,0,1,9,0.000798427124891532,38337,runs/mvp-seed-0/best.pt
gnn,6,0,198,9,9,1.0,0,1,1,0,1,9,0.000798427124891532,38337,runs/mvp-seed-0/best.pt
gnn,6,0,199,9,9,1.0,0,1,1,0,1,9,0.000798427124891532,38337,runs/mvp-seed-0/best.pt
mlp,6,0,0,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,1,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,2,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,3,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,4,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,5,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,6,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,7,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,8,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,9,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,10,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,11,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,12,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,13,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,14,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,15,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,16,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,17,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,18,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,19,8,9,0.8888888888888888,1,0,0,0,1,8,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,20,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,21,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,22,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,23,8,9,0.8888888888888888,1,0,0,0,1,8,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
mlp,6,0,24,9,9,1.0,0,1,1,0,1,9,0.0005315507812611031,37990,runs/mvp-mlp-seed-0/best.pt
