record_id,graph_sha256,graph_reference,outcome,method,n,seed,episode
candidate/s1/n6/e8,1e31e3ab9252e3fd3164120e2cd81ffd541960c54104f6a1ac356e952f657e6d,study/artifacts/evaluation/candidate/seed-1/n-6/chunk-000000.json.gz,unbalanced_bipartite,candidate,6,1,8
candidate/s1/n6/e20,fd8cfca42f258ad1b2461dcf1ab71450c64e537e54996e91b81e6394cc9a2d91,study/artifacts/evaluation/candidate/seed-1/n-6/chunk-000000.json.gz,nonbipartite,candidate,6,1,20
candidate/s1/n7/e0,12f939db0d5b8935512f387919381aa8d43112a59d61e52b5a574e210d299a2d,study/artifacts/evaluation/candidate/seed-1/n-7/chunk-000000.json.gz,exact,candidate,7,1,0
candidate/s1/n7/e41,5d2c49343f9ff0c660d1333d1f5ce096bd46e818884d41366c772df75b26871f,study/artifacts/evaluation/candidate/seed-1/n-7/chunk-000032.json.gz,nonbipartite,candidate,7,1,41
candidate/s1/n8/e0,193c4ac75ec1be0caf185562e869fd4aec453076b628d99783f4e4135350b0d4,study/artifacts/evaluation/candidate/seed-1/n-8/chunk-000000.json.gz,exact,candidate,8,1,0
candidate/s1/n8/e4,1248ac2ba6565a4b1eab21176501963e0298f9779d8fe94063db53256943ed41,study/artifacts/evaluation/candidate/seed-1/n-8/chunk-000000.json.gz,unbalanced_bipartite,candidate,8,1,4
candidate/s1/n8/e15,d981e1258fea0158c9914cf5ac76edac75c638820a3ce918a623df98d5589b6d,study/artifacts/evaluation/candidate/seed-1/n-8/chunk-000000.json.gz,nonbipartite,candidate,8,1,15
candidate/s1/n9/e0,60994342e3c3927f1455972f21c8a00769ea333dd44188374b5aa7ad14a8eed9,study/artifacts/evaluation/candidate/seed-1/n-9/chunk-000000.json.gz,exact,candidate,9,1,0
candidate/s1/n9/e10,2010a3c746d8cd6bc18c078cbc01c4212421fda4db3b5f1b2f5e9b2b86a40bfe,study/artifacts/evaluation/candidate/seed-1/n-9/chunk-000000.json.gz,nonbipartite,candidate,9,1,10
candidate/s2/n10/e0,545b252d8c0d11c98c67bc60a7fb94b78a0db18087ce48913584837cb4c9fb78,study/artifacts/evaluation/candidate/seed-2/n-10/chunk-000000.json.gz,exact,candidate,10,2,0
